date,electric_production
01-04-2015,89.0847
01-05-2015,90.6408
01-06-2015,102.848
01-07-2015,111.9672
01-08-2015,110.7762
01-09-2015,101.8409
01-10-2015,91.0676
01-11-2015,92.3563
01-12-2015,102.538
01-01-2016,117.2128
01-02-2016,106.254
01-03-2016,94.4715
01-04-2016,88.3776
01-05-2016,89.6237
01-06-2016,103.4974
01-07-2016,114.2098
01-08-2016,115.4804
01-09-2016,102.1828
01-10-2016,90.6927
01-11-2016,92.2734
01-12-2016,113.2596
01-01-2017,115.11
01-02-2017,98.79
01-03-2017,100.3838
01-04-2017,86.5178
01-05-2017,90.2272
01-06-2017,100.5536
01-07-2017,111.2244
01-08-2017,108.0286
01-09-2017,97.2464
01-10-2017,92.0177
01-11-2017,96.4756
01-12-2017,115.1165
01-01-2018,127.6767
01-02-2018,107.0056
01-03-2018,103.3912
01-04-2018,93.1969
01-05-2018,93.3137
01-06-2018,103.6679
01-07-2018,113.7848
01-08-2018,113.8726
01-09-2018,101.8547
01-10-2018,95.2305
01-11-2018,103.0793
01-12-2018,109.6659
01-01-2019,121.4272
